varenummer;poeng;konklusjon;url_aperitif
3869901;97;En virkelig imponerende vin som tåler 40. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/dr-crusius-schloszbockelheimer-felsenberg-riesling-spatlese-2016/1996213
4574702;94;En nydelig vin som tåler 20+. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/grans-fassian-trittenheimer-apotheke-riesling-spatlese-2012/308385
382201;94;En utrolig god vermut, verken mer eller mindre.;https://www.aperitif.no/pollisten/produkt/padro-co-vermouth-blanco-reserva/2082811
7879701;94;En imponerende auslese som tåler 50 år. Mye bedre flaske enn sist den ble smakt. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/nik-weis-st-urbans-hof-bockstein-auslese-gold-capsule-2014/2152413
10032701;94;En svært konsentrert og lovende vin som tåler 20 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-sonnenuhr-riesling-auslese-2016/2119355
10489202;94;"En veldig flott px som holder ""evig"".";https://www.aperitif.no/pollisten/produkt/noe-pedro-ximenez-muy-viejo/1948790
5380202;93;En lekker vin som tåler 15. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/kracher-non-vintage-trockenbeerenauslese/1957993
5724801;93;En herlig søtvin som holder nesten evig. Godt kjøp.;https://www.aperitif.no/pollisten/produkt/mullineux-straw-wine-2017/2030933
4841201;93;En imponerende vin som tåler 15-20 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/carl-loewen-maximin-herrenberg-alte-reben-trocken-2018/333591
4897201;93;En lekker vin santo som holder evig. Godt kjøp.;https://www.aperitif.no/pollisten/produkt/fattoria-di-lucignano-vin-santo-2006/1945635
2903102;93;En strålende auslese som tåler 20 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/k-h-schneider-sobernheimer-marbach-riesling-auslese-2017/1969653
3536802;93;En herlig manzanilla som er i en egen klasse. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/bod-yuste-sacristia-ab-manzanilla/2184899
1078002;93;En lekker etna rosso som tåler 12 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/graci-etna-rosso-2016/298795
1416301;93;En super konsentrert og lovende vin - nesten på auslesenivå - som tåler 15 år. Meget godt kjøp;https://www.aperitif.no/pollisten/produkt/emrich-schonleber-monziger-halenberg-riesling-spatlese-2016/87570
177302;93;En nydelig og svært lovende vin som tåler 15 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/marc-kreydenweiss-wiebelsberg-riesling-grand-cru-2016/83913
6508002;93;En virkelig lekker og kompleks fino som likevel er i et veldig fruktig hjørne. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/lustau-en-rama-fino-de-el-puerto-santa-maria-2019/2012060
9077401;93;En virkelig lovende pinot i en svært klassisk og jordsmonnsdreven stil. Puster god burgund i nakken. Tåler 12 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/walter-centgrafenberg-spatburgunder-2012/2166250
8034504;93;En veldig deilig auslese med stor og kjøttfull frukt, tåler 30 år. Godt kjøp.;https://www.aperitif.no/pollisten/produkt/muller-catoir-herzog-rieslaner-auslese-erste-lage-2018/2151742
11369702;93;En superkonsentrert søtvin som tåler 20 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/dr-loosen-riesling-beerenauslese-2015/2096208
10291101;93;En herlig og lovende vin som tåler 12 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/carlines-tremoulette-cotes-du-jura-2016/2140225
10212001;93;En flott og konsentrert chablis premier cru som tåler 12 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/vocoret-chablis-1er-cru-les-vaillons-vieilles-vignes-2016/2130531
10980202;93;En lekker og kompleks kabinett som tåler 15 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/nik-weis-st-urbans-hof-bockstein-rsl-kab-2018/87345
10668601;93;En flott og lovende vintage som tåler 20 år minst - selv i halvflaskeformat. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/graham-s-quinta-dos-malvedos-vintage-2012/2086052
10518102;93;En intens og svært konsentrert søtvin som tåler 20 år. Godt kjøp.;https://www.aperitif.no/pollisten/produkt/sattlerhof-sauvignon-blanc-beerenauslese-2017/2212266
5466101;92;En nydelig dessertvin som tåler 10 år minst. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/ca-rugate-recioto-di-soave-la-perlara-2015/1948426
5380302;92;En deilig tokayer som tåler 20 år minst. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/royal-tokaji-aszu-blue-label-5-puttonyos-2013/1948378
5924801;92;En flott barbera med ekstra dybde og flott syrlighet som også bærer sine 15.5 prosent veldig godt. Tåler 10-15 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/cascina-castelet-passum-barbera-d-asti-superiore-2016/76872
5619202;92;En imponerende og annerledes riesling som tåler 10 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/materne-et-schmitt-koberner-riesling-2016/356033
5657001;92;En imponerende vin som tåler 10+. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/cascina-montagnola-morasso-colli-tortonesi-timorasso-2013/1950774
5121301;92;En veldig god vermut.;https://www.aperitif.no/pollisten/produkt/barbero-bianco/68973
5764701;92;En flott madeira. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/blandy-s-10-years-old-bual/1947177
4626701;92;En flott halvflaske vintage som tåler mange år fortsatt. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/dow-s-quinta-do-bomfim-vintage-2006/1946958
3909601;92;En virkelig flott vin som tåler 10 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/pomodolce-diletto-derthona-timorasso-2016/1946485
3309102;92;En virkelig lekker utgave av denne vinen som tåler 10 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/foradori-fontanasanta-manzoni-bianco-2018/330295
3140304;92;En deilig søtvin som tåler 20 år. Godt kjøp.;https://www.aperitif.no/pollisten/produkt/donnafugata-ben-rye-passito-di-pantelleria-2017/1946659
3208701;92;En veldig kul og kjøttfull sviskepreget vinsanto som holder nesten evig. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/gaia-vin-santo-2006/1946014
3597001;92;n strålende vin. Meget godt kjøp. ;https://www.aperitif.no/pollisten/produkt/lustau-oloroso-pata-de-gallina/1946261
3780501;92;En nydelig vin som tåler 8 år minst. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/schatz-h-acinipo-2010/301661
3787801;92;En rik og fyldig jordsmonnspreget riesling som tåler 10-12 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/karl-may-geyersberg-riesling-trocken-2018/311206
2165201;92;En flott sauternes som tåler 15 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/ch-guiraud-sauternes-2010/1945857
1824802;92;En herlig rose som tåler 5. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/cornelissen-susucaru-rosato-2018/303294
1677802;92;En veldig kul søtvin som holder veldig lenge. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/ariyanas-terruno-pizarroso-2008/1969078
2789101;92;En lekker hvit portvin. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/churchill-s-dry-white-port/2002569
1003001;92;En herlig konsentrert vin som tåler 20. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/selbach-oster-zeltinger-sonnenuhr-riesling-spat-feinherb-ur-alte-reben-2015/1991531
1170101;92;En strålende gamay som tåler 10 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/ch-thivin-cuvee-la-chapelle-cote-de-brouilly-2018/1991584
1226301;92;En lekker og lovende rioja som tåler 15 år. Taxfree koster den 219 kroner. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/contino-reserva-2015/80715
1349602;92;En flott og konsentrert hvitvin som tåler 10 år. Minst. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/daterra-viticultores-gavela-do-pobo/2194592
895102;92;En svært konsentrert og intens sørfransk rødvin av de sjeldne som tåler 15 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/sainte-croix-carignan-2016/2184673
779201;92;En flott og lovende spatlese som tåler 20 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/markus-molitor-wehlener-sonnenuhr-riesling-spatlese-2017/2049870
620302;92;En veldig spennende og saftig vin som tåler 8 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/suertes-del-marques-la-solana-2015/2059578
401701;92;En god og balansert søtvin hva sødme angår. Tåler sikker 10-15 år. Meget godt kjøp.;https://www.aperitif.no/pollisten/produkt/dom-de-la-rectorie-banyuls-2015/2049823
