varenummer;navn;poeng;konklusjon;date;url_aperitif
3869901;Dr Crusius Schloßböckelheimer Felsenberg Riesling Spätlese 2016;97;En virkelig imponerende vin som tåler 40. Meget godt kjøp.;2014-årgang.                        Smakt 31. mars 2016;https://www.aperitif.no/pollisten/produkt/dr-crusius-schloszbockelheimer-felsenberg-riesling-spatlese-2016/1996213
382201;Grans-Fassian Trittenheimer Apotheke Riesling Spätlese 2012;94;En nydelig vin som tåler 20+. Meget godt kjøp.;2012-årgang.                        Smakt 26. februar 2016;https://www.aperitif.no/pollisten/produkt/grans-fassian-trittenheimer-apotheke-riesling-spatlese-2012/308385
7879701;Padró & Co. Vermouth Blanco Reserva;94;En utrolig god vermut, verken mer eller mindre.;Smakt 16. august 2017;https://www.aperitif.no/pollisten/produkt/padro-co-vermouth-blanco-reserva/2082811
10489202;Nik Weis St. Urbans-Hof Bockstein Auslese Gold Capsule 2014;94;En imponerende auslese som tåler 50 år. Mye bedre flaske enn sist den ble smakt. Meget godt kjøp.;2014-årgang.                        Smakt 14. desember 2018;https://www.aperitif.no/pollisten/produkt/nik-weis-st-urbans-hof-bockstein-auslese-gold-capsule-2014/2152413
10032701;Markus Molitor Zeltinger Sonnenuhr Riesling Auslese** 2016;94;En svært konsentrert og lovende vin som tåler 20 år. Meget godt kjøp.;2016-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-sonnenuhr-riesling-auslese-2016/2119355
4574702;Noe Pedro Ximenez Muy Viejo;94;"En veldig flott px som holder ""evig"".";Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/noe-pedro-ximenez-muy-viejo/1948790
2903102;Kracher Non Vintage Trockenbeerenauslese;93;En lekker vin som tåler 15. Meget godt kjøp.;Smakt 26. august 2015;https://www.aperitif.no/pollisten/produkt/kracher-non-vintage-trockenbeerenauslese/1957993
1078002;Mullineux Straw Wine 2017;93;En herlig søtvin som holder nesten evig. Godt kjøp.;2017-årgang.                        Smakt 15. september 2018;https://www.aperitif.no/pollisten/produkt/mullineux-straw-wine-2017/2030933
1416301;Carl Loewen Maximin Herrenberg Alte Reben Trocken 2018;93;En imponerende vin som tåler 15-20 år. Meget godt kjøp.;2017-årgang.                        Smakt 15. mars 2018;https://www.aperitif.no/pollisten/produkt/carl-loewen-maximin-herrenberg-alte-reben-trocken-2018/333591
177302;Fattoria di Lucignano Vin Santo 2006;93;En lekker vin santo som holder evig. Godt kjøp.;2005-årgang.                        Smakt  1. november 2015;https://www.aperitif.no/pollisten/produkt/fattoria-di-lucignano-vin-santo-2006/1945635
3536802;K.H. Schneider Sobernheimer Marbach Riesling Auslese 2017;93;En strålende auslese som tåler 20 år. Meget godt kjøp.;2015-årgang.                        Smakt 19. desember 2017;https://www.aperitif.no/pollisten/produkt/k-h-schneider-sobernheimer-marbach-riesling-auslese-2017/1969653
10980202;Bod. Yuste Sacristia AB Manzanilla;93;En herlig manzanilla som er i en egen klasse. Meget godt kjøp.;Smakt  6. mai 2019;https://www.aperitif.no/pollisten/produkt/bod-yuste-sacristia-ab-manzanilla/2184899
9077401;Graci Etna Rosso 2016;93;En lekker etna rosso som tåler 12 år. Meget godt kjøp.;2016-årgang.                        Smakt  6. juli 2019;https://www.aperitif.no/pollisten/produkt/graci-etna-rosso-2016/298795
4841201;Emrich-Schönleber Monziger Halenberg Riesling Spätlese 2016;93;En super konsentrert og lovende vin - nesten på auslesenivå - som tåler 15 år. Meget godt kjøp;2016-årgang.                        Smakt 15. januar 2018;https://www.aperitif.no/pollisten/produkt/emrich-schonleber-monziger-halenberg-riesling-spatlese-2016/87570
4897201;Marc Kreydenweiss Wiebelsberg Riesling Grand Cru 2016;93;En nydelig og svært lovende vin som tåler 15 år. Meget godt kjøp.;2015-årgang.                        Smakt 22. februar 2018;https://www.aperitif.no/pollisten/produkt/marc-kreydenweiss-wiebelsberg-riesling-grand-cru-2016/83913
5380202;Lustau En Rama Fino de El Puerto Santa Maria 2019;93;En virkelig lekker og kompleks fino som likevel er i et veldig fruktig hjørne. Meget godt kjøp.;2018-årgang.                        Smakt 12. juni 2018;https://www.aperitif.no/pollisten/produkt/lustau-en-rama-fino-de-el-puerto-santa-maria-2019/2012060
10668601;Walter Centgrafenberg Spätburgunder 2012;93;En virkelig lovende pinot i en svært klassisk og jordsmonnsdreven stil. Puster god burgund i nakken. Tåler 12 år. Meget godt kjøp.;2012-årgang.                        Smakt 14. desember 2018;https://www.aperitif.no/pollisten/produkt/walter-centgrafenberg-spatburgunder-2012/2166250
10518102;Müller-Catoir Herzog Rieslaner Auslese Erste Lage 2018;93;En veldig deilig auslese med stor og kjøttfull frukt, tåler 30 år. Godt kjøp.;2018-årgang.                        Smakt 16. september 2019;https://www.aperitif.no/pollisten/produkt/muller-catoir-herzog-rieslaner-auslese-erste-lage-2018/2151742
