varenummer;poeng;konklusjon;argang_apreritif;smakt;url_aperitif
3869901;97;En virkelig imponerende vin som tåler 40. Meget godt kjøp.;2014; 31. mars 2016;https://www.aperitif.no/pollisten/produkt/dr-crusius-schloszbockelheimer-felsenberg-riesling-spatlese-2016/1996213
7265601;96;En virkelig lott og lovende vin som tåler 30 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-sonnenuhr-riesling-auslese-2017/2049874
4290102;95;En superkonsentrert oloroso som holder evig.;2017;  6. mai 2019;https://www.aperitif.no/pollisten/produkt/fernando-de-castilla-antique-oloroso/2193655
3436301;95;En uhyre elegant og sjeldent lovende vin for de neste 50 årene. Meget godt kjøp. 95 p (2005) (Godbiter i pollisten - 03.12.09);2005; 24. juni 2015;https://www.aperitif.no/pollisten/produkt/willi-schaefer-graacher-domprobst-riesling-auslese-2011/87287
1727701;95;En imponerende GG-riesling som tåler 15 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/kuhling-gillot-nierstein-pettenthal-riesling-trocken-grosses-gewachs-2018/343891
3319101;94;En lekker og lovende vin som tåler 10 år. Meget godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/terre-nere-etna-rosso-feudo-de-mezzo-2016/1979391
4376602;94;En flott vin santo som holder evig. Godt kjøp.;2010; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/badia-a-coltibuono-vin-santo-del-chianti-classico-2010/1948689
4574702;94;"En veldig flott px som holder ""evig"".";NA; 16. september 2019;https://www.aperitif.no/pollisten/produkt/noe-pedro-ximenez-muy-viejo/1948790
1727601;94;En kompleks og lovende GG-riesling som stråler i denne årgangen og som tåler 15 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/battenfeld-spanier-nieder-florsheim-frauenberg-riesling-trocken-gg-2018/343857
1727801;94;En kompleks og lovende GG-riesling som tåler 12 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/battenfeld-spanier-am-schwarzen-herrgott-riesling-trocken-gg-2018/343840
885402;94;Desserter, meditasjon.;NA; 30. oktober 2014;https://www.aperitif.no/pollisten/produkt/disznoko-tokaji-aszu-5-puttonyos-2010/1946242
382201;94;En nydelig vin som tåler 20+. Meget godt kjøp.;2012; 26. februar 2016;https://www.aperitif.no/pollisten/produkt/grans-fassian-trittenheimer-apotheke-riesling-spatlese-2012/308385
4056902;94;En deilig syrlig vin santo som tåler mange år. Trolig evig.;2008;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/isole-e-olena-vin-santo-del-chianti-classico-2008/1948522
6845101;94;En svært kompleks og lovende riesling som tåler 20 år. Meget godt kjøp.;2014; 26. september 2016;https://www.aperitif.no/pollisten/produkt/dr-loosen-erdener-treppchen-riesling-gg-2014/2031562
6915402;94;En flott svært konsentrert halvtørr oloroso-stil. Meget godt kjøp.;NA; 16. september 2019;https://www.aperitif.no/pollisten/produkt/ximenez-spinola-solera-1964/2041846
7879701;94;En utrolig god vermut, verken mer eller mindre.;NA; 16. august 2017;https://www.aperitif.no/pollisten/produkt/padro-co-vermouth-blanco-reserva/2082811
9624602;94;En utrolig godt laget søt epldesider.;2012; 24. november 2015;https://www.aperitif.no/pollisten/produkt/egge-gard-iseple/314338
9674701;94;En strålende svært lovende GG-riesling som tåler 15 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/kunstler-hochheim-holle-riesling-trocken-gg-2018/304852
7940001;94;En virkelig flott vouvray som tåler 20 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/dom-huet-vouvray-clos-du-bourg-sec-2017/2085995
7649201;94;En utrolig intens og særpreget muscadet som tåler 10-15 år. Meget godt kjøp.;2013;  7. mars 2017;https://www.aperitif.no/pollisten/produkt/dom-de-l-ecu-carpe-diem-2013/2060112
10032701;94;En svært konsentrert og lovende vin som tåler 20 år. Meget godt kjøp.;2016; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-sonnenuhr-riesling-auslese-2016/2119355
10034001;94;En svært kompleks og lovende riesling som tåler 15 år. Meget godt kjøp.;2017;  2. mars 2019;https://www.aperitif.no/pollisten/produkt/markus-molitor-zeltinger-sonnenuhr-riesling-auslese-torr-2017/2119358
11200101;94;En veldig intens og konsentrert riesling i en veldig transparent stil som tåler 12 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/kruger-rumpf-burgberg-riesling-gg-2018/2203175
10661101;94;En strålende og konsentrert riesling som tåler 12 år. Meget godt kjøp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/schwedhelm-schwarzer-herrgott-riesling-trocken-2018/2166216
3780401;93;En imponerende og rik vin som tåler 10 år minst. Meget godt kjøp.;2015;  8. februar 2017;https://www.aperitif.no/pollisten/produkt/dom-du-closel-clos-du-papillon-2015/2002651
3813601;93;En svært ung og lukket/reduktiv slank og konsentrert lovende GG-riesling som tåler 15 år. Meget godt køjp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/kuhling-gillot-nierstein-hipping-riesling-trocken-grosses-gewachs-2018/1991742
1078002;93;En herlig søtvin som holder nesten evig. Godt kjøp.;2017; 15. september 2018;https://www.aperitif.no/pollisten/produkt/mullineux-straw-wine-2017/2030933
5380202;93;En virkelig lekker og kompleks fino som likevel er i et veldig fruktig hjørne. Meget godt kjøp.;2018; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/lustau-en-rama-fino-de-el-puerto-santa-maria-2019/2012060
4331601;93;En vin av virkelig klasse. Vil utvikle seg videre i minst fem-seks år. Meget godt kjøp. 93 p (1999) (Godbiter i pollisten - 07.02.08);1999; 24. juni 2015;https://www.aperitif.no/pollisten/produkt/acerone-rosso-di-toscana-2009/77670
4460202;93;En deilig og lekker vin som tåler 20 år. Godt kjøp.;2009; 31. mai 2017;https://www.aperitif.no/pollisten/produkt/selvapiana-vin-santo-del-chianti-rufina-2011/1948736
8115302;93;"En artig og annerledes passito som holder ""evig"". Godt kjøp.";2001; 16. september 2019;https://www.aperitif.no/pollisten/produkt/riecine-sebastiano-2001/2212267
8161501;93;En virkelig god og svært lovende vin som tåler 15 år. Meget godt kjøp.;2015; 19. desember 2017;https://www.aperitif.no/pollisten/produkt/graf-von-schonborn-marcobrunn-riesling-erstes-gewachs-erbach-2017/2096576
8034504;93;En superkonsentrert søtvin som tåler 20 år. Meget godt kjøp.;2014; 19. desember 2017;https://www.aperitif.no/pollisten/produkt/dr-loosen-riesling-beerenauslese-2015/2096208
7961901;93;En virkelig flott vin som tåler 7-8 år. Meget godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/ismael-gozalo-sin-nombre-2016/2096164
7802601;93;En ekstra fylde og kjøttfull Musar som smaker veldig godt nå og som tåler 10 år til - minst. Meget godt kjøp.;2006; 15. august 2017;https://www.aperitif.no/pollisten/produkt/ch-musar-2006/2075761
7939201;93;En nydelig og lovende vouvray som tåler 12 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/dom-huet-vouvray-le-mont-sec-2017/2085996
7617601;93;En svært stofflig og lovende vin som tåler 10 år. Meget godt kjøp.;2016; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/kunstler-rudesheimer-berg-schlossberg-riesling-trocken-gg-2016/2059311
7620901;93;En strålende beaujolais som tåler 20 år. Meget godt kjøp.;2018; 11. november 2019;https://www.aperitif.no/pollisten/produkt/ch-thivin-cuvee-zaccharie-cote-de-brouilly-2018/2059309
7633101;93;En nydelig vin som tåler 20 år. Meget godt kjøp.;2015;  7. mars 2017;https://www.aperitif.no/pollisten/produkt/gunderloch-rothenberg-riesling-auslese-2015/2059314
7104501;93;En virkelig flott vin som tåler 15 år. Meget godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/niepoort-redoma-reserva-branco-2016/2031733
7434601;93;En virkelig flott vin som tåler 15 år. Meget godt kjøp.;2014;  7. mars 2017;https://www.aperitif.no/pollisten/produkt/brundlmayer-heligenstein-lyra-riesling-2015/2059312
5834101;93;En intens og superkonsentrert vin som tåler 15 år. Meget godt kjøp.;2014;  8. november 2017;https://www.aperitif.no/pollisten/produkt/mauro-2017/81333
5849101;93;En strålende GG-riesling som tåler 12 år. Meget godt kjøp.;2018; 16. september 2019;https://www.aperitif.no/pollisten/produkt/dr-wehrheim-kastanienbusch-koppel-riesling-trocken-gg-2018/2020737
5724801;93;En lekker og kompleks kabinett som tåler 15 år. Meget godt kjøp.;2016; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/nik-weis-st-urbans-hof-bockstein-rsl-kab-2018/87345
6393102;93;En svært kompleks og elegant 20 år gammel twany. Meget godt kjøp.;NA; 27. oktober 2016;https://www.aperitif.no/pollisten/produkt/rozes-20-year-old-tawny/2031240
6508002;93;En flott og lovende vintage som tåler 20 år minst - selv i halvflaskeformat. Meget godt kjøp.;2012; 27. oktober 2017;https://www.aperitif.no/pollisten/produkt/graham-s-quinta-dos-malvedos-vintage-2012/2086052
2903102;93;En lekker vin som tåler 15. Meget godt kjøp.;NA; 26. august 2015;https://www.aperitif.no/pollisten/produkt/kracher-non-vintage-trockenbeerenauslese/1957993
4897201;93;En nydelig og svært lovende vin som tåler 15 år. Meget godt kjøp.;2015; 22. februar 2018;https://www.aperitif.no/pollisten/produkt/marc-kreydenweiss-wiebelsberg-riesling-grand-cru-2016/83913
4786601;93;En lekker baga som minner en del om pinot noir og som tåler 15 år. Meget godt kjøp.;2015; 15. september 2018;https://www.aperitif.no/pollisten/produkt/luis-pato-vinha-pan-2015/79880
5380202;93;En virkelig lekker og kompleks fino som likevel er i et veldig fruktig hjørne. Meget godt kjøp.;2018; 12. juni 2018;https://www.aperitif.no/pollisten/produkt/lustau-en-rama-fino-de-el-puerto-santa-maria-2019/2012060
4460202;93;En deilig og lekker vin som tåler 20 år. Godt kjøp.;2009; 31. mai 2017;https://www.aperitif.no/pollisten/produkt/selvapiana-vin-santo-del-chianti-rufina-2011/1948736
4465701;93;En herlig savagnin som tåler 10 år. Meget godt kjøp.;2015; 14. desember 2018;https://www.aperitif.no/pollisten/produkt/tissot-savagnin-2016/84259
4841201;93;En super konsentrert og lovende vin - nesten på auslesenivå - som tåler 15 år. Meget godt kjøp;2016; 15. januar 2018;https://www.aperitif.no/pollisten/produkt/emrich-schonleber-monziger-halenberg-riesling-spatlese-2016/87570
3780401;93;En imponerende og rik vin som tåler 10 år minst. Meget godt kjøp.;2015;  8. februar 2017;https://www.aperitif.no/pollisten/produkt/dom-du-closel-clos-du-papillon-2015/2002651
3813601;93;En svært ung og lukket/reduktiv slank og konsentrert lovende GG-riesling som tåler 15 år. Meget godt køjp.;2018;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/kuhling-gillot-nierstein-hipping-riesling-trocken-grosses-gewachs-2018/1991742
1078002;93;En herlig søtvin som holder nesten evig. Godt kjøp.;2017; 15. september 2018;https://www.aperitif.no/pollisten/produkt/mullineux-straw-wine-2017/2030933
3532201;93;En strålende og konsentrert barolo som tåler 15 år. Meget godt kjøp.;2014; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/cordero-di-montezemolo-barolo-monfalletto-2015/1969623
3536802;93;En strålende auslese som tåler 20 år. Meget godt kjøp.;2015; 19. desember 2017;https://www.aperitif.no/pollisten/produkt/k-h-schneider-sobernheimer-marbach-riesling-auslese-2017/1969653
3538801;93;En utrolig deilig vin som tåler 12 år. Minst. Meget godt kjøp.;2016;  8. september 2017;https://www.aperitif.no/pollisten/produkt/weiser-kunstler-enkircher-ellergrub-riesling-spatlese-2016/1969658
4331601;93;En vin av virkelig klasse. Vil utvikle seg videre i minst fem-seks år. Meget godt kjøp. 93 p (1999) (Godbiter i pollisten - 07.02.08);1999; 24. juni 2015;https://www.aperitif.no/pollisten/produkt/acerone-rosso-di-toscana-2009/77670
8161501;93;En virkelig god og svært lovende vin som tåler 15 år. Meget godt kjøp.;2015; 19. desember 2017;https://www.aperitif.no/pollisten/produkt/graf-von-schonborn-marcobrunn-riesling-erstes-gewachs-erbach-2017/2096576
4786601;93;En lekker baga som minner en del om pinot noir og som tåler 15 år. Meget godt kjøp.;2015; 15. september 2018;https://www.aperitif.no/pollisten/produkt/luis-pato-vinha-pan-2015/79880
8034504;93;En superkonsentrert søtvin som tåler 20 år. Meget godt kjøp.;2014; 19. desember 2017;https://www.aperitif.no/pollisten/produkt/dr-loosen-riesling-beerenauslese-2015/2096208
7961901;93;En virkelig flott vin som tåler 7-8 år. Meget godt kjøp.;2016; 15. september 2018;https://www.aperitif.no/pollisten/produkt/ismael-gozalo-sin-nombre-2016/2096164
7802601;93;En ekstra fylde og kjøttfull Musar som smaker veldig godt nå og som tåler 10 år til - minst. Meget godt kjøp.;2006; 15. august 2017;https://www.aperitif.no/pollisten/produkt/ch-musar-2006/2075761
7939201;93;En nydelig og lovende vouvray som tåler 12 år. Meget godt kjøp.;2017; 16. september 2019;https://www.aperitif.no/pollisten/produkt/dom-huet-vouvray-le-mont-sec-2017/2085996
7617601;93;En svært stofflig og lovende vin som tåler 10 år. Meget godt kjøp.;2016; 15. mars 2018;https://www.aperitif.no/pollisten/produkt/kunstler-rudesheimer-berg-schlossberg-riesling-trocken-gg-2016/2059311
7620901;93;En strålende beaujolais som tåler 20 år. Meget godt kjøp.;2018; 11. november 2019;https://www.aperitif.no/pollisten/produkt/ch-thivin-cuvee-zaccharie-cote-de-brouilly-2018/2059309
7633101;93;En nydelig vin som tåler 20 år. Meget godt kjøp.;2015;  7. mars 2017;https://www.aperitif.no/pollisten/produkt/gunderloch-rothenberg-riesling-auslese-2015/2059314
9077401;93;En lekker etna rosso som tåler 12 år. Meget godt kjøp.;2016;  6. juli 2019;https://www.aperitif.no/pollisten/produkt/graci-etna-rosso-2016/298795
10240001;93;En virkelig flott og konsentrert vin som tåler 8 år minst. Meget godt kjøp.;2017; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/thorne-daughters-cat-s-cradle/2140131
10291101;93;En herlig og lovende vin som tåler 12 år. Meget godt kjøp.;2016; 17. juli 2018;https://www.aperitif.no/pollisten/produkt/carlines-tremoulette-cotes-du-jura-2016/2140225
9273502;93;En herlig og ganske tørr tokaji som tåler 10 år minst. Meget godt kjøp.;2011;  8. september 2017;https://www.aperitif.no/pollisten/produkt/oremus-tokaji-aszu-3-puttonyos-2013/1949668
11045301;93;En lekker og kompleks amforavin som tåler 10 år. Meget godt kjøp.;2016; 31. oktober 2019;https://www.aperitif.no/pollisten/produkt/integer-grillo/2193657
