varenummer;order_to_store
    2001;Kan bestilles til alle butikker
    2002;: 22 i butikken - flere kan bestilles
    2004;Kan kjøpes i butikk med varen på lager
    5401;Kan bestilles til alle butikker
    5402;Kan kjøpes i butikk med varen på lager
    5404;Kan bestilles til alle butikker
    5701;Kan bestilles til alle butikker
    6201;Kan bestilles til alle butikker
    6301;Kan bestilles til alle butikker
    6302;Kan bestilles til alle butikker
    6401;Kan kjøpes i butikk med varen på lager
    6501;Kan bestilles til alle butikker
    6801;Kan bestilles til alle butikker
    6901;Kan bestilles til alle butikker
    6902;Kan bestilles til alle butikker
    7001;Kan bestilles til alle butikker
    7101;Kan bestilles til alle butikker
    7102;Kan bestilles til alle butikker
    7501;Kan bestilles til alle butikker
    7502;Kan bestilles til alle butikker
    7901;Kan bestilles til alle butikker
    8001;Kan bestilles til alle butikker
    8801;Kan bestilles til alle butikker
   10701;Kan bestilles til alle butikker
   20901;Kan bestilles til alle butikker
   24201;Kan bestilles til alle butikker
   27201;Kan bestilles til alle butikker
   27401;Kan bestilles til alle butikker
   27501;Kan bestilles til alle butikker
   27601;Kan bestilles til alle butikker
   28101;Kan bestilles til alle butikker
   28701;Kan bestilles til alle butikker
   59101;Kan bestilles til alle butikker
   65101;Kan bestilles til alle butikker
   65104;Kan bestilles til alle butikker
   66001;Kan bestilles til alle butikker
   67001;Kan bestilles til alle butikker
   67002;Kan bestilles til alle butikker
   67005;Kan bestilles til alle butikker
   67801;Kan bestilles til alle butikker
   67901;Kan bestilles til alle butikker
   68501;Kan bestilles til alle butikker
   68502;Kan bestilles til alle butikker
   68801;Kan bestilles til alle butikker
   69901;Kan bestilles til alle butikker
   69902;Kan kjøpes i butikk med varen på lager
   69905;Kan bestilles til alle butikker
   71501;Utsolgt i alle butikker - kan ikke bestilles
   74101;Kan kjøpes i butikk med varen på lager
   74301;Kan bestilles til alle butikker
   74302;Kan bestilles til alle butikker
   77001;Kan kjøpes i butikk med varen på lager
   79101;Kan bestilles til alle butikker
   79106;Kan bestilles til alle butikker
   83001;Kan bestilles til alle butikker
   83002;Kan bestilles til alle butikker
   83301;Kan bestilles til alle butikker
   83501;Kan bestilles til alle butikker
   83901;Kan bestilles til alle butikker
   85101;Kan bestilles til alle butikker
   85102;Kan bestilles til alle butikker
   85501;Kan bestilles til alle butikker
   85701;Kan bestilles til alle butikker
   85901;Kan bestilles til alle butikker
   86101;Kan bestilles til alle butikker
   88801;Kan bestilles til alle butikker
   88802;Kan bestilles til alle butikker
   90006;Kan bestilles til alle butikker
   90101;Kan bestilles til alle butikker
   90601;Kan bestilles til alle butikker
   90602;Kan bestilles til alle butikker
   90801;Kan bestilles til alle butikker
   91501;Kan bestilles til alle butikker
   91502;Kan bestilles til alle butikker
   91505;Kan bestilles til alle butikker
   91507;Kan bestilles til alle butikker
