Varenummer;navn;poeng
3869901;Dr Crusius Schloßböckelheimer Felsenberg Riesling Spätlese 2016;97
10518102;Müller-Catoir Herzog Rieslaner Auslese Erste Lage 2018;95
7879701;Padró & Co. Vermouth Blanco Reserva;94
382201;Grans-Fassian Trittenheimer Apotheke Riesling Spätlese 2012;94
620302;Gaia Vin Santo 2006;94
10032701;Markus Molitor Zeltinger Sonnenuhr Riesling Auslese** 2016;94
10489202;Nik Weis St. Urbans-Hof Bockstein Auslese Gold Capsule 2014;94
3536802;K.H. Schneider Sobernheimer Marbach Riesling Auslese 2015;93
2903102;Kracher Non Vintage Trockenbeerenauslese;93
1078002;Mullineux Straw Wine 2017;93
1416301;Carl Loewen Maximin Herrenberg Alte Reben Trocken 2018;93
5380202;Lustau En Rama Fino de El Puerto Santa Maria 2019;93
4897201;Marc Kreydenweiss Wiebelsberg Riesling Grand Cru 2016;93
5724801;Nik Weis St. Urbans-Hof Bockstein Rsl Kab 2018;93
4841201;Emrich-Schönleber Monziger Halenberg Riesling Spätlese 2016;93
8034504;Dr. Loosen Riesling Beerenauslese 2015;93
9077401;Graci Etna Rosso 2016;93
177302;Fattoria di Lucignano Vin Santo 2006;93
10291101;Carlines Trémoulette Côtes du Jura 2016;93
10212001;Vocoret Chablis 1er Cru Les Vaillons Vieilles Vignes 2016;93
6508002;Graham's Quinta dos Malvedos Vintage 2012;93
10668601;Walter Centgrafenberg Spätburgunder 2012;93
10980202;Bod. Yuste Sacristia AB Manzanilla;93
2828502;Lustau 3 Lustau En Rama Manzanilla Sanlúcar de Barrameda 2019;92
3140304;Royal Tokaji Aszu Blue Label 5 Puttonyos 2013;92
3208701;Cascina Castelet Passum Barbera d'Asti Superiore 2016;92
3309102;Ca'Rugate Recioto di Soave La Perlara 2015;92
2789101;Cascina Montagnola Morasso Colli Tortonesi Timorasso 2013;92
2165201;Materne et Schmitt Koberner Riesling 2016;92
1003001;Barbero Bianco;92
1349602;Donnafugata Ben Ryé Passito di Pantelleria 2016;92
1677802;Dow`s Quinta do Bomfim Vintage 2006;92
895102;Lustau Oloroso Pata de Gallina;92
1824802;Blandy's 10 Years Old Bual;92
1170101;Pomodolce Diletto Derthona Timorasso 2016;92
7649501;Dom. de L'Ecu Janus 2015;92
7812602;Ambra Vin Santo di Carmignano 2010;92
7848901;Hogan Chenin Blanc 2016;92
7873001;Moltès Zinnkoepflé Riesling Grand Cru 2015;92
7879801;Padró & Co. Vermouth Rojo Clásico;92
5483301;Smiley Chenin Blanc;92
5619202;Nectar Pedro Ximénez;92
5380302;Lustau 3 En Rama Fino De Jerez de La Frontera Spring 2018;92
5121301;Contino Reserva 2015;92
5657001;Weiser-Künstler Wolfer Sonnenlay Riesling Kabinett 2016;92
5764701;Silice Pouilly-Fumé 2017;92
5466101;Bod. Atamisque Catalpa Malbec 2017;92
8067401;Villa Huesgen Alte Reben Riesling 2016;92
8176301;Wagner Stempel Siefersheim Riesling Porphyr        2016;92
682702;Churchill's Dry White Port;92
779201;Karl May Geyersberg Riesling Trocken 2017;92
401701;Schatz H Acinipo 2010;92
477202;Ch. Guiraud Sauternes 2010;92
529401;Cornelissen Susucaru Rosato 2018;92
